title,section_title,word_count,text,completeness_label
Zambia,Etymology,40,"The territory of Zambia was known as Northern Rhodesia from 1911 to 1964. It was renamed Zambia in October 1964 on its independence from British rule. The name Zambia derives from the Zambezi River (Zambezi may mean ""the grand river"").",Incomplete
Zambia,History,0,,Incomplete
Zambia,Politics,268,"Politics in Zambia takes place in a framework of a presidential representative democratic republic, whereby the president of Zambia is both head of state and head of government in a pluriform multi-party system. The government exercises executive power, while legislative power is vested in both the government and parliament.
Zambia became a republic immediately upon attaining independence in October 1964. From 2011 to 2014, Zambia's president had been Michael Sata, until Sata died on 28 October 2014. After Sata's death, Vice President Guy Scott, a Zambian of Scottish descent, became acting president. Presidential elections were held on 22 January 2015. A total number of 11 presidential candidates contested in the election and On 24 January 2015, it was announced that Edgar Chagwa Lungu had won the election to become the 6th President in a tightly contested race. He won 48.33% of the vote, a lead of 1.66% over his closest rival, Hakainde Hichilema, with 46.67%. Nine other candidates all got less than 1% each. In August 2016 Zambian general election president Edgar Lungu won re-election narrowly in the first round of the election. The opposition had allegations of fraud and the governing Patriotic Front (PF) rejected the allegations made by opposition UPND party.
In the 2021 general elections, characterised by a 70% voter turnout, Hakainde Hichilema won 59% of the vote, with his closest rival, incumbent president Edgar Chagwa Lungu, receiving 39% of the vote. On 16 August Edgar Lungu conceded in a TV statement, sending a letter and congratulating president-elect Hakainde Hichilema. On 24 August 2021, Hakainde Hichilema was sworn in as the new president of Zambia.",Complete
Zambia,Geography,779,"Zambia is a landlocked country in southern Africa, with a tropical climate, and consists mostly of high plateaus with some hills and mountains, dissected by river valleys. At 752,614 km2 (290,586 sq mi) it is the 39th-largest country in the world, slightly smaller than Chile. The country lies mostly between latitudes 8° and 18°S, and longitudes 22° and 34°E.
Zambia is drained by two major river basins: the Zambezi/Kafue basin in the centre, west, and south covering about three-quarters of the country; and the Congo basin in the north covering about one-quarter of the country. A very small area in the northeast forms part of the internal drainage basin of Lake Rukwa in Tanzania.
In the Zambezi basin, there are a number of major rivers flowing wholly or partially through Zambia: the Kabompo, Lungwebungu, Kafue, Luangwa, and the Zambezi itself, which flows through the country in the west and then forms its southern border with Namibia, Botswana and Zimbabwe. Its source is in Zambia but it diverts into Angola, and a number of its tributaries rise in Angola's central highlands. The edge of the Cuando River floodplain (not its main channel) forms Zambia's southwestern border, and via the Chobe River that river contributes very little water to the Zambezi because most are lost by evaporation.
Two of the Zambezi's longest and largest tributaries, the Kafue and the Luangwa, flow mainly in Zambia. Their confluences with the Zambezi are on the border with Zimbabwe at Chirundu and Luangwa town respectively. Before its confluence, the Luangwa River forms part of Zambia's border with Mozambique. From Luangwa town, the Zambezi leaves Zambia and flows into Mozambique, and eventually into the Mozambique Channel.
The Zambezi falls about 100 metres (328 ft) over the 1.6-kilometre-wide (1-mile) Victoria Falls, located in the southwest corner of the country, subsequently flowing into Lake Kariba. The Zambezi valley, running along the southern border, is both deep and wide. From Lake Kariba going east, it is formed by grabens and like the Luangwa, Mweru-Luapula, Mweru-wa-Ntipa and Lake Tanganyika valleys, is a rift valley.
The north of Zambia is very flat with broad plains. In the west the most notable being the Barotse Floodplain on the Zambezi, which floods from December to June, lagging behind the annual rainy season (typically November to April). The flood dominates the natural environment and the lives, society, and culture of the inhabitants and those of other smaller, floodplains throughout the country.

In Eastern Zambia the plateau which extends between the Zambezi and Lake Tanganyika valleys is tilted upwards to the north, and so rises imperceptibly from about 900 m (2,953 ft) in the south to 1,200 m (3,937 ft) in the centre, reaching 1,800 m (5,906 ft) in the north near Mbala. These plateau areas of northern Zambia have been categorised by the World Wildlife Fund as a large section of the Central Zambezian miombo woodlands ecoregion.
Eastern Zambia shows great diversity. The Luangwa Valley splits the plateau in a curve north-east to south-west, extended west into the heart of the plateau by the deep valley of the Lunsemfwa River. Hills and mountains are found by the side of some sections of the valley, notably in its north-east the Nyika Plateau (2,200 m or 7,218 ft) on the Malawi border, which extend into Zambia as the Mafinga Hills, containing the country's highest point, Mafinga Central (2,339 m or 7,674 ft).
The Muchinga Mountains, the watershed between the Zambezi and Congo drainage basins, run parallel to the deep valley of the Luangwa River and form a sharp backdrop to its northern edge, although they are almost everywhere below 1,700 m (5,577 ft). Their culminating peak Mumpu is at the western end and at 1,892 m (6,207 ft) is the highest point in Zambia away from the eastern border region. The border of the Congo Pedicle was drawn around this mountain.
The southernmost headstream of the Congo River rises in Zambia and flows west through its northern area firstly as the Chambeshi and then, after the Bangweulu Swamps as the Luapula, which forms part of the border with the Democratic Republic of the Congo. The Luapula flows south then west before it turns north until it enters Lake Mweru. The lake's other major tributary is the Kalungwishi River, which flows into it from the east. The Luvua River drains Lake Mweru, flowing out of the northern end to the Lualaba River (Upper Congo River).
Lake Tanganyika is the other major hydrographic feature that belongs to the Congo basin. Its south-eastern end receives water from the Kalambo River, which forms part of Zambia's border with Tanzania. This river has Africa's second highest uninterrupted waterfall, the Kalambo Falls.",Complete
Zambia,Demographics,234,"As of the 2022 Zambian census, Zambia's population was 19,610,769. During its colonial administration by the British between 1911 and 1963, the country attracted immigrants from Europe and the Indian subcontinent, the latter of whom came as indentured workers. While most Europeans left after the collapse of white-minority rule, many Asians remained. Zambia is home to a growing Asian community, with a majority being of Indian and Chinese descent.

In the first census—conducted on 7 May 1911—there were a total of 1,497 Europeans; 39 Asiatics and an estimated 820,000 black Africans. Black Africans were not counted in the six censuses conducted in 1911, 1921, 1931, 1946, 1951 and 1956, prior to independence, but their population was estimated. By 1956, there were 65,277 Europeans, 5,450 Asiatics, 5,450 coloureds and an estimated 2,100,000 black Africans.
The main ethnic groups in Zambia are Bemba 3.3 million (33.6%), Nyanja 1.8 million (18.2%), Tonga 1.7 million (16.8%), North-Western peoples 1 million (10.3%), Lozi (Barotse) 770,000 (7.8%), Mambwe 580,000 (5.9%), Tumbuka 500,000 (5.1%), Lamba 165,000 (2%), Asians 11,900 and Europeans 6,200.
In the 2010 population census, 99.2% were black Africans and 0.8% consisted of other racial groups.

Zambia is one of the most highly urbanised countries in sub-Saharan Africa, with 44% of the population concentrated along the major transport corridors, while rural areas are sparsely populated. The fertility rate was 6.2 as of 2007 (6.1 in 1996, 5.9 in 2001–02).",Complete
Zambia,Economy,542,"In 2022, Zambia averages between $7.5 billion and $8 billion of exports annually. It totaled $9.1 billion worth of exports in 2018.  In  2015, about 54.4% of Zambians lived below the recognised national poverty line, improved from 60.5% in 2010.  Rural poverty rates were about 76.6% and urban rates at about 23.4%.  The national poverty line was ZMK 214 (USD 12.85) per month.  As of the latest estimate in 2018 by the United Nations Development Programme, 47.9 percent of the population continued to be affected by multidimensional poverty. Unemployment and underemployment in urban areas are serious problems.  Most rural Zambians are subsistence farmers.
Zambia was ranked 116th in the Global Innovation Index in 2024. Social indicators continue to decline, particularly in measurements of life expectancy at birth (about 40.9 years) and maternal mortality (830 per 100,000 pregnancies) in 2007. By 2023, the life expectancy at birth had risen again to around 62 years.
Zambia fell into poverty after international copper prices declined in the 1970s. The socialist regime made up for falling revenue with several abortive attempts at International Monetary Fund structural adjustment programmes (SAPs). The policy of not trading through the main supply route and line of rail to the sea – the territory was known as Rhodesia (from 1965 to 1979), and now known as Zimbabwe – cost the economy greatly. After the Kaunda regime, (from 1991) successive governments began limited reforms. The economy stagnated until the late 1990s. In 2007 Zambia recorded its ninth consecutive year of economic growth. Inflation was 8.9%, down from 30% in 2000.
Zambia is still dealing with economic reform issues such as the size of the public sector, and improving Zambia's social sector delivery systems. Economic regulations and red tape are extensive, and corruption is widespread. The bureaucratic procedures surrounding the process of obtaining licences encourages the widespread use of facilitation payments. Zambia's total foreign debt exceeded $6 billion when the country qualified for Highly Indebted Poor Country Initiative (HIPC) debt relief in 2000, contingent upon meeting certain performance criteria. Initially, Zambia hoped to reach the HIPC completion point, and benefit from substantial debt forgiveness, in late 2003.

In January 2003, the Zambian government informed the International Monetary Fund and World Bank that it wished to renegotiate some of the agreed performance criteria calling for privatisation of the Zambia National Commercial Bank and the national telephone and electricity utilities. Although agreements were reached on these issues, subsequent overspending on civil service wages delayed Zambia's final HIPC debt forgiveness from late 2003 to early 2005, at the earliest. In an effort to reach HIPC completion in 2004, the government drafted an austerity budget for 2004, freezing civil service salaries and increasing the number of taxes. The tax hike and public sector wage freeze prohibited salary increases and new hires. This sparked a nationwide strike in February 2004.
The Zambian government is pursuing an economic diversification programme to reduce the economy's reliance on the copper industry. This initiative seeks to exploit other components of Zambia's rich resource base by promoting agriculture, tourism, gemstone mining, and hydro-power. In July 2018, Turkish president Recep Tayyip Erdoğan and Zambia's president Edgar Lungu signed 12 agreements in capital Lusaka on areas ranging from trade and investment to tourism and diplomacy.",Complete
Zambia,Culture,413,"Prior to the establishment of modern Zambia, the inhabitants lived in independent tribes, each with its own way of life. One of the results of the colonial era was the growth of urbanisation. Different ethnic groups started living together in towns and cities, influencing each other's way of life. They also started adopting aspects of global or universal culture, especially in terms of dressing and mannerisms. Much of the original cultures of Zambia have largely survived in rural areas, with some outside influences such as Christianity. Cultures that are specific to certain ethnic groups within Zambia are known as 'Zambian cultures' while those lifestyles that are common across ethnic groups are labelled ""Zambian culture"" because they are practiced by almost every Zambian. In the urban setting, there is a continuous integration and evolution of these cultures to produce what is called ""Zambian culture"".

Zambia practices several ceremonies and rituals ranging from nationally recognised traditional ceremonies to unrecognised yet important ceremonies. Many of the ceremonies and rituals are performed on special occasions celebrating or marking achievements, anniversaries, the passage of time, coronations and presidential occasions, atonement and purification, graduation, dedication, oaths of allegiance, initiation, marriage, funeral, birth ceremonies and others.
Like most African countries, Zambia practices both disclosed and undisclosed ceremonies and rituals. Among the disclosed ceremonies and rituals include calendrical or seasonal, contingent, affliction, divination, initiation and regular or daily ceremonies. Undisclosed ceremonies include those practiced in secret such by spiritual groups like Nyau and Nakisha dancers and traditional marriage counsellors such as alangizi women. As of December 2016, Zambia had 77 calendrical or seasonal traditional ceremonies recognized by government, and this number will increase in the near future. The ceremonies once a year include Nc'wala, Kulonga, Kuomboka, Malaila, Nsengele, Chibwela kumushi, Dantho, Ntongo, Makundu, Lwiindi, Chuungu, and Lyenya. These are known as Zambian traditional ceremonies. Some of the more prominent are: Kuomboka and Kathanga (Western Province), Mutomboko (Luapula Province), Kulamba and Ncwala (Eastern Province), Lwiindi and Shimunenga (Southern Province), Lunda Lubanza (North Western), Likumbi Lyamize (North Western), Mbunda Lukwakwa (North Western Province), Chibwela Kumushi (Central Province), Vinkhakanimba (Muchinga Province), Ukusefya Pa Ng'wena (Northern Province).
Popular traditional arts include pottery, basketry (such as Tonga baskets), stools, fabrics, mats, wooden carvings, ivory carvings, wire craft, and copper crafts. Most Zambian traditional music is based on drums (and other percussion instruments) with a lot of singing and dancing. In urban areas, foreign genres of music are popular, particularly Congolese rumba, African-American music and Jamaican reggae.",Complete
Zambia,Notable people,0,,Incomplete
Zambia,See also,7,"Index of Zambia-related articles
Outline of Zambia",Incomplete
Zambia,Notes,0,,Incomplete
